 mid, username, rpid, gender, content, ctime, likes, rcount
16713024,立起来的咸鱼,1979929821,保密,一个出息男人的背后，一定有一个强大的好基友。,2019-09-23 18:01:15,0,0
59734484,舌法芬芳张大仙,1979928841,男,高木同学这种画风手办和周边应该不太好卖吧QAQ,2019-09-23 17:59:54,0,0
16713024,立起来的咸鱼,1979928337,保密,老泪纵横，算是了了一个心愿,2019-09-23 17:59:11,0,0
291066994,飞友张教授,1979928140,男,高木同学很真实的反应了青春期的少男少女的故事，明知道都喜欢对方，但是就是不说出来，把这份欣喜埋藏在心底。最后木村的助攻反应了好哥们之间的义气!引起了许多人的共鸣。最后西片的主动出击真的让我很感动，两季了，一直在等这个瞬间，西片的牵手应该表明了他跟高木的关系又上了一个阶梯!有缘第三季再见了，各位[支持],2019-09-23 17:58:53,1,0
95322049,出来吧-刻刻帝,1979923716,保密,木村真男人！！！,2019-09-23 17:58:09,1,0
34207789,面条要喝汤,1979922571,保密,终于！太难了！虽然知道小千都已经可以开始赢爸爸了，看正剧还是很焦急啊,2019-09-23 17:56:42,0,0
90112229,ailaの艾拉,1979926473,保密,完结撒花,2019-09-23 17:56:16,0,0
210102229,性能小钢炮,1979926123,男,片尾的是真兄弟啊！,2019-09-23 17:55:43,1,0
2656593,孑灬麒,1979917495,男,完结撒花,2019-09-23 17:54:28,0,0
15132324,益达哥哥啊,1979917438,男,到底西片赢了,2019-09-23 17:54:23,0,0
35312501,高木西片小千,1979925200,男,真好[大哭],2019-09-23 17:54:15,0,0
22570869,航傲天,1979920324,男,"首先感慨高木同学的第二季完结，动漫在最后的一集终于西片A了上去和高木确立了关系，还有基友胖子的助攻，看到这里我感慨西片的初中经历是十分的丰富，身边有着与他有一样兴趣爱好的朋友，有着对他只有纯纯爱恋的高木同学，很多人都非常期待自己可以碰上像高木同学这样的女生，在这个社会中可能已经很少可以见到像高木这样只有纯洁的爱意，她有图你什么吗？没有！她只是喜欢你那个傻傻的样子看着你她就已经很满足了，曾经有一个像高木一样的女生放在我的面前，因为我的害羞，我的胆小而慢慢的错失了她，每次看高木同学的时候弹幕会说西片怂，不是男人，这么好的女生在你面前都不敢，但如果你是西片很多人可能只会比西片更怂，这么好的女生她真的是喜欢我的吗？还是只是喜欢看我傻傻的样子?我真的配得上她吗？就算我和她在一起了，我可以给她一个幸福的未来吗-？你会考虑到很多的事情，但是如果你看到了我这条评论，请你拿出你的勇气，配不上?给不了她幸福？不那都是你自己的胆小逃避不要想那么多，这样的女生你要是错过了会后悔一辈子，A上去听我的就算她不喜欢你但是你不会后悔一辈子！我要说的就这么多了，这只是up主结合自己经历的感慨！
曾经的我不喜欢评论但是在每一个自己看完喜欢的动漫下面评论这是一条证明自己曾追过的痕迹！",2019-09-23 17:53:43,3,0
3573950,数不尽哒桃子,1979920023,女,太甜辣！！！！！,2019-09-23 17:53:21,0,0
474023466,胜天半子小恒,1979913491,保密,首评首投币，高木西片这两位总有着让人嘴角不自觉上扬的魔力。虽然看的时候会扭来扭去，但看完以后内心却很平和，有种自己也能得到幸福的期待。希望大家也能找到自己的高木同学，也许TA并不相貌出众，但在彼此眼中，对方最美最合适~(^・ω・^ )另外希望能坚持把我们的狗粮做下去，不管等多久我都要吃下去，以此为证(大家有更新消息随时叫我啊),2019-09-23 17:51:10,0,0
270460619,55546646464,1979904611,保密,我想问问12集第14分钟那个bgm是什么啊,2019-09-23 17:49:59,0,0
291066994,飞友张教授,1979907334,男,真的，最后走散的时候我都为他们焦心,2019-09-23 17:49:37,0,0
44393055,薰来世再见,1979904155,保密,我坐等第三季。,2019-09-23 17:49:13,0,0
65979505,阳光普照之时,1979906248,保密,你缺的不光是个好兄弟，还缺个让好兄弟助攻的人[doge],2019-09-23 17:47:47,0,0
394070664,老毒是我,1979906161,保密,现在还是学生的我...嘿嘿[小电视_害羞][2233娘_耶],2019-09-23 17:47:39,0,0
8216490,舟亢的航,1979894801,保密,可塑性记忆的感觉 好在这里不光只有一年,2019-09-23 17:45:21,1,0
16713024,立起来的咸鱼,1979929821,保密,一个出息男人的背后，一定有一个强大的好基友。,2019-09-23 18:01:15,0,0
